company,role,skills,branch,location,min_cgpa,apply_link,logo
Google,AI Research Intern,"Cloud, Python",IT,Chennai,8.03,https://careers.google.com/apply/0,https://logo.clearbit.com/google.com
Capgemini,ML Engineer Intern,"NLP, C++",ECE,Chennai,6.08,https://careers.capgemini.com/apply/1,https://logo.clearbit.com/capgemini.com
Adobe,Data Analyst Intern,"Python, SQL",Mechanical,Pune,6.46,https://careers.adobe.com/apply/2,https://logo.clearbit.com/adobe.com
TCS,Graduate Engineer Trainee,"Networking, React, Cloud, Java",Mechanical,Bangalore,8.99,https://careers.tcs.com/apply/3,https://logo.clearbit.com/tcs.com
Flipkart,Frontend Developer Intern,"React, Cloud",ECE,Chennai,6.65,https://careers.flipkart.com/apply/4,https://logo.clearbit.com/flipkart.com
Infosys,Frontend Developer Intern,"Python, Deep Learning",ECE,Delhi,6.26,https://careers.infosys.com/apply/5,https://logo.clearbit.com/infosys.com
Infosys,Graduate Engineer Trainee,"Linux, Docker, React",CSE,Chennai,6.91,https://careers.infosys.com/apply/6,https://logo.clearbit.com/infosys.com
Capgemini,Backend Developer Intern,"Python, SQL",CSE,Delhi,6.45,https://careers.capgemini.com/apply/7,https://logo.clearbit.com/capgemini.com
Amazon,System Engineer,"Data Structures, React, Node.js, Algorithms",CSE,Remote,7.68,https://careers.amazon.com/apply/8,https://logo.clearbit.com/amazon.com
Flipkart,Data Analyst Intern,"Node.js, Cloud, Data Structures",CSE,Pune,7.38,https://careers.flipkart.com/apply/9,https://logo.clearbit.com/flipkart.com
Google,Data Scientist Intern,"Algorithms, Deep Learning, C++",CSE,Delhi,8.11,https://careers.google.com/apply/10,https://logo.clearbit.com/google.com
Google,Software Engineer Intern,"SQL, Statistics",ECE,Hyderabad,7.74,https://careers.google.com/apply/11,https://logo.clearbit.com/google.com
Infosys,Data Analyst Intern,"Node.js, Data Structures, NLP",ECE,Pune,7.8,https://careers.infosys.com/apply/12,https://logo.clearbit.com/infosys.com
Amazon,Data Scientist Intern,"Data Structures, SQL, NLP, Python",CSE,Pune,7.83,https://careers.amazon.com/apply/13,https://logo.clearbit.com/amazon.com
Zomato,Backend Developer Intern,"React, Python",CSE,Bangalore,6.43,https://careers.zomato.com/apply/14,https://logo.clearbit.com/zomato.com
Deloitte,Backend Developer Intern,"SQL, Cloud, NLP",Mechanical,Bangalore,6.27,https://careers.deloitte.com/apply/15,https://logo.clearbit.com/deloitte.com
Cisco,Backend Developer Intern,"Cloud, Docker, Data Structures",CSE,Bangalore,7.04,https://careers.cisco.com/apply/16,https://logo.clearbit.com/cisco.com
Deloitte,Software Engineer Intern,"Machine Learning, Linux",IT,Bangalore,8.3,https://careers.deloitte.com/apply/17,https://logo.clearbit.com/deloitte.com
Paytm,System Engineer,"SQL, Node.js",Mechanical,Mumbai,7.54,https://careers.paytm.com/apply/18,https://logo.clearbit.com/paytm.com
Accenture,Software Developer,"Statistics, Machine Learning, C++, Java",Mechanical,Bangalore,7.21,https://careers.accenture.com/apply/19,https://logo.clearbit.com/accenture.com
Paytm,ML Engineer Intern,"Networking, Java, Statistics, Cloud",IT,Pune,8.89,https://careers.paytm.com/apply/20,https://logo.clearbit.com/paytm.com
Zomato,ML Engineer Intern,"React, Docker",CSE,Pune,7.24,https://careers.zomato.com/apply/21,https://logo.clearbit.com/zomato.com
Wipro,System Engineer,"React, Docker, Statistics, Deep Learning",Mechanical,Remote,8.47,https://careers.wipro.com/apply/22,https://logo.clearbit.com/wipro.com
Accenture,Data Analyst Intern,"Python, Node.js, SQL, Machine Learning",IT,Delhi,7.22,https://careers.accenture.com/apply/23,https://logo.clearbit.com/accenture.com
TCS,AI Research Intern,"Data Structures, Python, C++",CSE,Pune,8.49,https://careers.tcs.com/apply/24,https://logo.clearbit.com/tcs.com
Accenture,Data Scientist Intern,"Data Structures, Algorithms",Mechanical,Chennai,6.62,https://careers.accenture.com/apply/25,https://logo.clearbit.com/accenture.com
Amazon,Backend Developer Intern,"Linux, Docker, Java, Machine Learning",IT,Bangalore,7.97,https://careers.amazon.com/apply/26,https://logo.clearbit.com/amazon.com
Uber,Data Scientist Intern,"Cloud, Networking, NLP",Mechanical,Hyderabad,6.77,https://careers.uber.com/apply/27,https://logo.clearbit.com/uber.com
Amazon,Software Developer,"Algorithms, Python",ECE,Remote,7.35,https://careers.amazon.com/apply/28,https://logo.clearbit.com/amazon.com
Samsung,Software Developer,"Machine Learning, SQL, NLP, Java",CSE,Delhi,6.65,https://careers.samsung.com/apply/29,https://logo.clearbit.com/samsung.com
Zomato,Data Analyst Intern,"Java, C++",ECE,Chennai,7.24,https://careers.zomato.com/apply/30,https://logo.clearbit.com/zomato.com
Google,Software Engineer Intern,"Machine Learning, Data Structures, Java, React",IT,Mumbai,7.01,https://careers.google.com/apply/31,https://logo.clearbit.com/google.com
Accenture,Data Analyst Intern,"Machine Learning, Python, SQL, Networking",ECE,Pune,6.87,https://careers.accenture.com/apply/32,https://logo.clearbit.com/accenture.com
Uber,System Engineer,"Statistics, SQL, Docker, NLP",Mechanical,Bangalore,8.93,https://careers.uber.com/apply/33,https://logo.clearbit.com/uber.com
Microsoft,Software Engineer Intern,"Node.js, Algorithms, SQL, Linux",CSE,Pune,7.5,https://careers.microsoft.com/apply/34,https://logo.clearbit.com/microsoft.com
